Starting server in no-pool mode.
New client connected: 127.0.0.1:56006, FD: 6
New client connected: 127.0.0.1:56144, FD: 78
New client connected: 127.0.0.1:56146, FD: 79
New client connected: 127.0.0.1:56148, FD: 80
New client connected: 127.0.0.1:56150, FD: 81
New client connected: 127.0.0.1:56152, FD: 82
New client connected: 127.0.0.1:56154, FD: 83
New client connected: 127.0.0.1:56156, FD: 84
New client connected: 127.0.0.1:56158, FD: 85
New client connected: 127.0.0.1:56160, FD: 86
New client connected: 127.0.0.1:56162, FD: 87
New client connected: 127.0.0.1:56164, FD: 88
New client connected: 127.0.0.1:56166, FD: 89
New client connected: 127.0.0.1:56168, FD: 90
New client connected: 127.0.0.1:56170, FD: 91
New client connected: 127.0.0.1:56172, FD: 92
New client connected: 127.0.0.1:56174, FD: 93
New client connected: 127.0.0.1:56176, FD: 94
New client connected: 127.0.0.1:56178, FD: 95
New client connected: 127.0.0.1:56180, FD: 96
New client connected: 127.0.0.1:56182, FD: 97
New client connected: 127.0.0.1:56184, FD: 98
New client connected: 127.0.0.1:56186, FD: 100
New client connected: 127.0.0.1:56188, FD: 101
New client connected: 127.0.0.1:56190, FD: 102
New client connected: 127.0.0.1:56192, FD: 103
New client connected: 127.0.0.1:56194, FD: 104
New client connected: 127.0.0.1:56196, FD: 105
New client connected: 127.0.0.1:56198, FD: 106
New client connected: 127.0.0.1:56200, FD: 107
New client connected: 127.0.0.1:56202, FD: 108
New client connected: 127.0.0.1:56204, FD: 109
[Worker] Handling connection: 127.0.0.1:56006, Thread ID: 139740793300736
[Worker] Handling connection: 127.0.0.1:56060, Thread ID: 139740566697728
[Worker] Handling connection: 127.0.0.1:56058, Thread ID: 139740575090432
[Worker] Handling connection: 127.0.0.1:56056, Thread ID: 139740583483136
[Worker] Handling connection: 127.0.0.1:56054, Thread ID: 139740591875840
[Worker] Handling connection: 127.0.0.1:56052, Thread ID: 139740600268544
[Worker] Handling connection: 127.0.0.1:56050, Thread ID: 139740608661248
[Worker] Handling connection: 127.0.0.1:56048, Thread ID: 139740617053952
[Worker] Handling connection: 127.0.0.1:56046, Thread ID: 139740625446656
[Worker] Handling connection: 127.0.0.1:56044, Thread ID: 139740633839360
[Worker] Handling connection: 127.0.0.1:56042, Thread ID: 139740642232064
[Worker] Handling connection: 127.0.0.1:56040, Thread ID: 139740650624768
[Worker] Handling connection: 127.0.0.1:56038, Thread ID: 139740659017472
[Worker] Handling connection: 127.0.0.1:56036, Thread ID: 139740667410176
[Worker] Handling connection: 127.0.0.1:56034, Thread ID: 139740675802880
[Worker] Handling connection: 127.0.0.1:56032, Thread ID: 139740684195584
[Worker] Handling connection: 127.0.0.1:56030, Thread ID: 139740692588288
[Worker] Handling connection: 127.0.0.1:56028, Thread ID: 139740700980992
[Worker] Handling connection: 127.0.0.1:56026, Thread ID: 139740709373696
[Worker] Handling connection: 127.0.0.1:56024, Thread ID: 139740717766400
[Worker] Handling connection: 127.0.0.1:56022, Thread ID: 139740726159104
[Worker] Handling connection: 127.0.0.1:56020, Thread ID: 139740734551808
[Worker] Handling connection: 127.0.0.1:56018, Thread ID: 139740742944512
[Worker] Handling connection: 127.0.0.1:56062, Thread ID: 139740558305024
[Worker] Handling connection: 127.0.0.1:56016, Thread ID: 139740751337216
[Worker] Handling connection: 127.0.0.1:56014, Thread ID: 139740759729920
[Worker] Handling connection: 127.0.0.1:56064, Thread ID: 139740549912320
[Worker] Handling connection: 127.0.0.1:56010, Thread ID: 139740776515328
[Worker] Handling connection: 127.0.0.1:56012, Thread ID: 139740768122624
[Worker] Handling connection: 127.0.0.1:56066, Thread ID: 139740541519616
[Worker] Handling connection: 127.0.0.1:56008, Thread ID: 139740784908032
[Worker] Handling connection: 127.0.0.1:56068, Thread ID: 139740533126912
[Worker] Handling connection: 127.0.0.1:56074, Thread ID: 139740507948800
[Worker] Handling connection: 127.0.0.1:56070, Thread ID: 139740524734208
[Worker] Handling connection: 127.0.0.1:56072, Thread ID: 139740516341504
[Worker] Handling connection: 127.0.0.1:56076, Thread ID: 139740499556096
[Worker] Handling connection: 127.0.0.1:56078, Thread ID: 139740491163392
[Worker] Handling connection: 127.0.0.1:56080, Thread ID: 139740482770688
[Worker] Handling connection: 127.0.0.1:56082, Thread ID: 139740474377984
[Worker] Handling connection: 127.0.0.1:56084, Thread ID: 139740465985280
[Worker] Handling connection: 127.0.0.1:56086, Thread ID: 139740457592576
[Worker] Handling connection: 127.0.0.1:56088, Thread ID: 139740449199872
[Worker] Handling connection: 127.0.0.1:56090, Thread ID: 139740440807168
[Worker] Handling connection: 127.0.0.1:56092, Thread ID: 139740432414464
[Worker] Handling connection: 127.0.0.1:56094, Thread ID: 139740424021760
[Worker] Handling connection: 127.0.0.1:56096, Thread ID: 139740415629056
[Worker] Handling connection: 127.0.0.1:56098, Thread ID: 139740407236352
[Worker] Handling connection: 127.0.0.1:56100, Thread ID: 139740398843648
[Worker] Handling connection: 127.0.0.1:56102, Thread ID: 139740390450944
[Worker] Handling connection: 127.0.0.1:56104, Thread ID: 139740382058240
[Worker] Handling connection: 127.0.0.1:56106, Thread ID: 139740373665536
[Worker] Handling connection: 127.0.0.1:56108, Thread ID: 139740365272832
[Worker] Handling connection: 127.0.0.1:56110, Thread ID: 139740356880128
[Worker] Handling connection: 127.0.0.1:56112, Thread ID: 139740348487424
[Worker] Handling connection: 127.0.0.1:56114, Thread ID: 139740340094720
[Worker] Handling connection: 127.0.0.1:56116, Thread ID: 139740331702016
[Worker] Handling connection: 127.0.0.1:56118, Thread ID: 139740323309312
[Worker] Handling connection: 127.0.0.1:56120, Thread ID: 139740314916608
[Worker] Handling connection: 127.0.0.1:56122, Thread ID: 139740306523904
[Worker] Handling connection: 127.0.0.1:56124, Thread ID: 139740298131200
[Worker] Handling connection: 127.0.0.1:56126, Thread ID: 139740289738496
[Worker] Handling connection: 127.0.0.1:56128, Thread ID: 139740281345792
[Worker] Handling connection: 127.0.0.1:56130, Thread ID: 139740272953088
[Worker] Handling connection: 127.0.0.1:56132, Thread ID: 139740264560384
[Worker] Handling connection: 127.0.0.1:56134, Thread ID: 139740256167680
[Worker] Handling connection: 127.0.0.1:56136, Thread ID: 139740247774976
[Worker] Handling connection: 127.0.0.1:56138, Thread ID: 139740239382272
[Worker] Handling connection: 127.0.0.1:56140, Thread ID: 139740230989568
[Worker] Handling connection: 127.0.0.1:56142, Thread ID: 139740222596864
[Worker] Handling connection: 127.0.0.1:56144, Thread ID: 139740214204160
[Worker] Handling connection: 127.0.0.1:56146, Thread ID: 139740205811456
[Worker] Handling connection: 127.0.0.1:56148, Thread ID: 139740197418752
[Worker] Handling connection: 127.0.0.1:56150, Thread ID: 139740189026048
[Worker] Handling connection: 127.0.0.1:56152, Thread ID: 139740180633344
[Worker] Handling connection: 127.0.0.1:56154, Thread ID: 139740172240640
[Worker] Handling connection: 127.0.0.1:56156, Thread ID: 139740163847936
[Worker] Handling connection: 127.0.0.1:56158, Thread ID: 139740155455232
[Worker] Handling connection: 127.0.0.1:56160, Thread ID: 139740147062528
[Worker] Handling connection: 127.0.0.1:56162, Thread ID: 139740138669824
[Worker] Handling connection: 127.0.0.1:56164, Thread ID: 139740130277120
[Worker] Handling connection: 127.0.0.1:56166, Thread ID: 139740121884416
[Worker] Handling connection: 127.0.0.1:56168, Thread ID: 139740113491712
[Worker] Handling connection: 127.0.0.1:56170, Thread ID: 139740105099008
[Worker] Handling connection: 127.0.0.1:56172, Thread ID: 139740096706304
[Worker] Handling connection: 127.0.0.1:56174, Thread ID: 139740088313600
[Worker] Handling connection: 127.0.0.1:56176, Thread ID: 139740079920896
[Worker] Handling connection: 127.0.0.1:56178, Thread ID: 139740071528192
[Worker] Handling connection: 127.0.0.1:56180, Thread ID: 139740063135488
[Worker] Handling connection: 127.0.0.1:56182, Thread ID: 139740054742784
[Worker] Handling connection: 127.0.0.1:56184, Thread ID: 139740046350080
[Worker] Handling connection: 127.0.0.1:56186, Thread ID: 139740037957376
[Worker] Handling connection: 127.0.0.1:56188, Thread ID: 139740029564672
[Worker] Handling connection: 127.0.0.1:56190, Thread ID: 139740021171968
[Worker] Handling connection: 127.0.0.1:56192, Thread ID: 139740012779264
[Worker] Handling connection: 127.0.0.1:56194, Thread ID: 139740004386560
[Worker] Handling connection: 127.0.0.1:56196, Thread ID: 139739995993856
[Worker] Handling connection: 127.0.0.1:56198, Thread ID: 139739987601152
[Worker] Handling connection: 127.0.0.1:56200, Thread ID: 139739979208448
[Worker] Handling connection: 127.0.0.1:56202, Thread ID: 139739970815744
[Worker] Handling connection: 127.0.0.1:56204, Thread ID: 139739962423040
Client disconnected or timeout: 127.0.0.1:56006, FD: 6
[Worker] Connection 127.0.0.1:56006 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56060, FD: 36
[Worker] Connection 127.0.0.1:56060 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56058, FD: 35
[Worker] Connection 127.0.0.1:56058 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56056, FD: 34
[Worker] Connection 127.0.0.1:56056 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56054, FD: 33
[Worker] Connection 127.0.0.1:56054 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56052, FD: 32
[Worker] Connection 127.0.0.1:56052 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56050, FD: 31
[Worker] Connection 127.0.0.1:56050 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56048, FD: 30
[Worker] Connection 127.0.0.1:56048 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56046, FD: 29
[Worker] Connection 127.0.0.1:56046 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56044, FD: 28
[Worker] Connection 127.0.0.1:56044 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56042, FD: 27
[Worker] Connection 127.0.0.1:56042 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56040, FD: 26
[Worker] Connection 127.0.0.1:56040 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56038, FD: 24
[Worker] Connection 127.0.0.1:56038 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56036, FD: 23
[Worker] Connection 127.0.0.1:56036 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56034, FD: 22
[Worker] Connection 127.0.0.1:56034 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56032, FD: 21
[Worker] Connection 127.0.0.1:56032 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56030, FD: 18
[Worker] Connection 127.0.0.1:56030 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56028, FD: 17
[Worker] Connection 127.0.0.1:56028 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56026, FD: 16
[Worker] Connection 127.0.0.1:56026 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56024, FD: 15
[Worker] Connection 127.0.0.1:56024 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56022, FD: 14
[Worker] Connection 127.0.0.1:56022 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56020, FD: 13
[Worker] Connection 127.0.0.1:56020 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56018, FD: 12
[Worker] Connection 127.0.0.1:56018 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56062, FD: 37
[Worker] Connection 127.0.0.1:56062 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56016, FD: 11
[Worker] Connection 127.0.0.1:56016 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56014, FD: 10
[Worker] Connection 127.0.0.1:56014 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56064, FD: 38
[Worker] Connection 127.0.0.1:56064 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56010, FD: 8
[Worker] Connection 127.0.0.1:56010 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56012, FD: 9
[Worker] Connection 127.0.0.1:56012 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56066, FD: 39
[Worker] Connection 127.0.0.1:56066 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56008, FD: 7
[Worker] Connection 127.0.0.1:56008 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56068, FD: 40
[Worker] Connection 127.0.0.1:56068 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56074, FD: 43
[Worker] Connection 127.0.0.1:56074 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56070, FD: 41
[Worker] Connection 127.0.0.1:56070 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56072, FD: 42
[Worker] Connection 127.0.0.1:56072 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56076, FD: 44
[Worker] Connection 127.0.0.1:56076 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56078, FD: 45
[Worker] Connection 127.0.0.1:56078 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56080, FD: 46
[Worker] Connection 127.0.0.1:56080 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56082, FD: 47
[Worker] Connection 127.0.0.1:56082 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56084, FD: 48
[Worker] Connection 127.0.0.1:56084 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56086, FD: 49
[Worker] Connection 127.0.0.1:56086 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56088, FD: 50
[Worker] Connection 127.0.0.1:56088 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56090, FD: 51
[Worker] Connection 127.0.0.1:56090 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56092, FD: 52
[Worker] Connection 127.0.0.1:56092 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56094, FD: 53
[Worker] Connection 127.0.0.1:56094 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56096, FD: 54
[Worker] Connection 127.0.0.1:56096 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56098, FD: 55
[Worker] Connection 127.0.0.1:56098 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56100, FD: 56
[Worker] Connection 127.0.0.1:56100 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56102, FD: 57
[Worker] Connection 127.0.0.1:56102 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56104, FD: 58
[Worker] Connection 127.0.0.1:56104 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56106, FD: 59
[Worker] Connection 127.0.0.1:56106 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56108, FD: 60
[Worker] Connection 127.0.0.1:56108 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56110, FD: 61
[Worker] Connection 127.0.0.1:56110 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56112, FD: 62
[Worker] Connection 127.0.0.1:56112 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56114, FD: 63
[Worker] Connection 127.0.0.1:56114 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56116, FD: 64
[Worker] Connection 127.0.0.1:56116 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56118, FD: 65
[Worker] Connection 127.0.0.1:56118 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56120, FD: 66
[Worker] Connection 127.0.0.1:56120 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56122, FD: 67
[Worker] Connection 127.0.0.1:56122 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56124, FD: 68
[Worker] Connection 127.0.0.1:56124 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56126, FD: 69
[Worker] Connection 127.0.0.1:56126 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56128, FD: 70
[Worker] Connection 127.0.0.1:56128 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56130, FD: 71
[Worker] Connection 127.0.0.1:56130 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56132, FD: 72
[Worker] Connection 127.0.0.1:56132 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56134, FD: 73
[Worker] Connection 127.0.0.1:56134 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56136, FD: 74
[Worker] Connection 127.0.0.1:56136 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56138, FD: 75
[Worker] Connection 127.0.0.1:56138 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56140, FD: 76
[Worker] Connection 127.0.0.1:56140 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56142, FD: 77
[Worker] Connection 127.0.0.1:56142 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56144, FD: 78
[Worker] Connection 127.0.0.1:56144 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56146, FD: 79
[Worker] Connection 127.0.0.1:56146 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56148, FD: 80
[Worker] Connection 127.0.0.1:56148 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56150, FD: 81
[Worker] Connection 127.0.0.1:56150 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56152, FD: 82
[Worker] Connection 127.0.0.1:56152 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56154, FD: 83
[Worker] Connection 127.0.0.1:56154 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56156, FD: 84
[Worker] Connection 127.0.0.1:56156 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56158, FD: 85
[Worker] Connection 127.0.0.1:56158 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56160, FD: 86
[Worker] Connection 127.0.0.1:56160 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56162, FD: 87
[Worker] Connection 127.0.0.1:56162 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56164, FD: 88
[Worker] Connection 127.0.0.1:56164 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56166, FD: 89
[Worker] Connection 127.0.0.1:56166 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56168, FD: 90
[Worker] Connection 127.0.0.1:56168 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56170, FD: 91
[Worker] Connection 127.0.0.1:56170 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56172, FD: 92
[Worker] Connection 127.0.0.1:56172 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56174, FD: 93
[Worker] Connection 127.0.0.1:56174 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56176, FD: 94
[Worker] Connection 127.0.0.1:56176 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56178, FD: 95
[Worker] Connection 127.0.0.1:56178 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56180, FD: 96
[Worker] Connection 127.0.0.1:56180 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56182, FD: 97
[Worker] Connection 127.0.0.1:56182 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56184, FD: 98
[Worker] Connection 127.0.0.1:56184 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56186, FD: 100
[Worker] Connection 127.0.0.1:56186 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56188, FD: 101
[Worker] Connection 127.0.0.1:56188 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56190, FD: 102
[Worker] Connection 127.0.0.1:56190 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56192, FD: 103
[Worker] Connection 127.0.0.1:56192 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56194, FD: 104
[Worker] Connection 127.0.0.1:56194 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56196, FD: 105
[Worker] Connection 127.0.0.1:56196 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56198, FD: 106
[Worker] Connection 127.0.0.1:56198 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56200, FD: 107
[Worker] Connection 127.0.0.1:56200 processed in 5000 ms
Client disconnected or timeout: 127.0.0.1:56202, FD: 108
[Worker] Connection 127.0.0.1:56202 processed in 4999 ms
Client disconnected or timeout: 127.0.0.1:56204, FD: 109
[Worker] Connection 127.0.0.1:56204 processed in 4999 ms
